14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,0,0,0,0,38,0,0,38,0,0,38,0,0,0,14
14,0,0,0,0,38,0,0,38,0,0,38,0,0,0,14
14,0,0,0,0,38,0,0,38,0,0,38,0,0,0,14
14,84,84,84,85,38,83,85,38,83,85,38,84,84,84,14
14,27,0,0,0,18,0,0,38,0,0,18,0,0,0,14
14,0,0,0,0,18,0,0,18,0,0,18,0,0,37,14
14,84,85,0,0,8,0,0,8,0,0,8,0,0,14,14
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,10,30,42,33,34,41,42,40,10,31,42,10,43,44,14
14,20,43,44,32,31,10,31,32,20,43,44,20,30,40,14
14,42,31,40,42,41,20,30,31,41,42,31,33,34,42,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
