8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
18,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
18,0,0,1,2,2,3,0,0,1,2,2,3,0,0,18
18,0,0,11,12,12,13,0,0,11,12,12,13,0,0,18
18,0,0,11,12,12,13,0,0,11,12,12,13,0,0,18
18,0,0,21,22,22,23,0,0,21,22,22,23,0,0,18
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
18,37,0,0,42,41,42,40,31,42,31,41,0,0,0,18
18,24,14,14,14,14,15,14,14,15,14,14,14,24,14,18
18,14,14,14,14,24,14,14,25,14,15,14,14,14,14,18
18,25,14,15,14,14,14,14,14,14,14,14,14,14,14,18
18,14,14,14,14,14,14,25,15,14,14,24,14,14,14,18
8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
